+-----+------------+-----------+--------+----------+
|     | date       | revenue   | cqgr   | growth   |
|-----+------------+-----------+--------+----------|
|   0 | 2020-12-31 | $NA$      |        | $NA$     |
|   0 | 2021-03-31 | $NA$      |        | $NA$     |
| 382 | 2021-06-30 | 22.34     | -0.25  | $NA$     |
| 290 | 2021-09-30 | 23.15     | -0.25  | 0.04     |
| 198 | 2021-12-31 | 26.16     | -0.25  | 0.13     |
| 108 | 2022-03-31 | 13.98     | -0.25  | -0.47    |
|  17 | 2022-06-30 | 6.95      | -0.25  | -0.5     |
+-----+------------+-----------+--------+----------+
revenue:	$NA$ && $NA$ & 22.34 & 23.15 & 26.16 && 13.98 & 6.95 && \textit{-0.25\%}
growth:	\textit{$NA$} && \textit{$NA$} & \textit{$NA$} & \textit{0.04\%} & \textit{0.13\%} && \textit{-0.47\%} & \textit{-0.5\%} && 
